banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
12.97812.978,630.0,13.29313.293,"9,63 9,63 ","2,75 2,75 ",11.432 11.432 ,1.113 1.113 ,354 354 ,46.0,742.0,14.0,8.0,14.07714.077,0.0,0.0,2.0,22,0.0,14.09114.091
25.88625.886,742.0,26.25726.257,"26,84 26,84 ","7,93 7,93 ",15.570 15.570 ,2.722 2.722 ,817 817 ,9.956,4.34,378.0,44.0,31.90431.904,442.0,104.0,18.0,00,0.0,32.39732.397
566.625566.625,772.0,567.011567.011,"52,67 52,67 ","16,53 16,53 ",334.911 334.911 ,223.011 223.011 ,3.037 3.037 ,9.724,2.38,7.916,99.002,360.606360.606,145.314,139.728,20.42,1.3081.308,0.0,568.104568.104
35.65835.658,4.0,35.66035.660,"15,33 15,33 ","3,79 3,79 ",31.730 31.730 ,3.900 3.900 ,19 19 ,6.0,16.0,52.0,10.194,22.74722.747,12.432,4.994,18.0,00,0.0,36.59236.592
31.30631.306,1238.0,31.92531.925,"68,94 68,94 ","20,31 20,31 ",22.636 22.636 ,6.276 6.276 ,665 665 ,2.0,4.694,32.0,570.0,35.08035.080,0.0,0.0,0.0,00,0.0,35.38135.381
151.282151.282,74.0,151.319151.319,"37,90 37,90 ","9,36 9,36 ",147.259 147.259 ,3.850 3.850 ,116 116 ,106.0,82.0,254.0,24.494,87.97087.970,73.036,26.3,2.576,44,0.0,151.304151.304
3.131.4993.131.499,22.404,3.142.7013.142.701,"61,24 61,24 ","18,58 18,58 ",1.563.542 1.563.542 ,1.414.676 1.414.676 ,118.747 118.747 ,42.788,48.684,12.11,172.562,2.085.6052.085.605,807.15,934.796,144.696,17.27917.279,0.0,3.138.5413.138.541
1.393.4431.393.443,16.032,1.401.4591.401.459,"120,63 120,63 ","45,78 45,78 ",434.835 434.835 ,914.952 914.952 ,38.161 38.161 ,5.166,21.856,1034.0,2.954,704.324704.324,451.446,529.164,107.012,16.75616.756,0.0,1.266.8851.266.885
27.02127.021,26.0,27.03427.034,"26,54 26,54 ","6,72 6,72 ",26.735 26.735 ,250 250 ,14 14 ,2.0,68.0,30.0,6.956,16.51916.519,9.778,4.154,108.0,00,0.0,27.03227.032
88.83388.833,28.0,88.84788.847,"28,79 28,79 ","7,65 7,65 ",54.974 54.974 ,33.534 33.534 ,248 248 ,104.0,78.0,382.0,7.966,45.63445.634,42.646,29.774,5.172,250250,0.0,88.85488.854
62.03562.035,3.46,63.76563.765,"36,07 36,07 ","10,96 10,96 ",43.994 43.994 ,955 955 ,916 916 ,26.214,9.586,802.0,8.986,73.95173.951,2.704,0.0,0.0,00,0.0,80.19780.197
88.08488.084,24.0,88.09688.096,"30,98 30,98 ","8,12 8,12 ",54.981 54.981 ,31.497 31.497 ,233 233 ,2.708,62.0,30.0,12.218,48.99548.995,40.374,21.816,3.29,234234,0.0,88.09388.093
636.422636.422,266.0,636.555636.555,"57,70 57,70 ","17,57 17,57 ",337.368 337.368 ,289.344 289.344 ,3.368 3.368 ,11.372,1578.0,100.0,58.76,404.645404.645,155.932,216.736,30.916,1.6061.606,0.0,637.473637.473
180.188180.188,114.0,180.245180.245,"45,21 45,21 ","13,45 13,45 ",109.359 109.359 ,64.141 64.141 ,226 226 ,12.896,142.0,3.36,16.506,110.296110.296,76.982,39.018,3.602,280280,0.0,180.310180.310
29.51329.513,0.0,29.51329.513,"19,85 19,85 ","5,03 5,03 ",22.400 22.400 ,6.061 6.061 ,16 16 ,2.046,26.0,3.146,7.038,15.79115.791,8.228,7.71,1298.0,1717,0.0,29.51829.518
42.62442.624,2.0,42.62542.625,"22,65 22,65 ","5,76 5,76 ",33.838 33.838 ,8.731 8.731 ,22 22 ,0.0,68.0,606.0,12.45,27.77827.778,12.286,4.268,86.0,00,0.0,42.62642.626
71.36871.368,920.0,71.82871.828,"63,02 63,02 ","20,67 20,67 ",12.754 12.754 ,47.245 47.245 ,5.054 5.054 ,12.506,1044.0,736.0,19.578,56.69456.694,32.0,670.0,264.0,1111,0.0,67.34567.345
16.29816.298,36.0,16.31616.316,"16,46 16,46 ","4,35 4,35 ",16.270 16.270 ,0 0 ,16 16 ,4.0,56.0,18.0,3.292,9.6359.635,6.668,3.35,26.0,33,0.0,16.31516.315
169.274169.274,2.902,170.725170.725,"32,11 32,11 ","8,91 8,91 ",153.320 153.320 ,13.030 13.030 ,2.579 2.579 ,54.0,3.538,228.0,32.0,177.194177.194,158.0,98.0,10.0,2020,0.0,177.477177.477
97.39097.390,0.0,97.39097.390,"29,72 29,72 ","8,05 8,05 ",57.983 57.983 ,39.294 39.294 ,100 100 ,10.0,16.0,2.02,9.566,47.45447.454,46.866,36.742,4.43,126126,0.0,97.39297.392
111.723111.723,4.224,113.835113.835,"60,87 60,87 ","17,99 17,99 ",51.742 51.742 ,46.389 46.389 ,1.124 1.124 ,23.82,5.34,3.078,2.812,84.85984.859,1584.0,28.306,6.146,271271,0.0,106.093106.093
100.020100.020,2.0,101.020101.020,"46,39 46,39 ","14,17 14,17 ",67.057 67.057 ,28.474 28.474 ,954 954 ,6.548,2.522,1996.0,5.906,92.96792.967,496.0,12.634,2.348,122122,0.0,104.779104.779
106.934106.934,2.0,106.935106.935,"32,69 32,69 ","7,87 7,87 ",79.389 79.389 ,26.657 26.657 ,110 110 ,316.0,1242.0,1154.0,10.054,71.63671.636,41.574,17.222,478.0,7070,0.0,106.947106.947
51.30151.301,1240.0,51.92151.921,"27,29 27,29 ","6,91 6,91 ",48.670 48.670 ,451 451 ,772 772 ,2.242,1814.0,16.0,440.0,58.60858.608,0.0,0.0,0.0,44,0.0,58.84058.840
12.99212.992,630.0,13.30713.307,"9,64 9,64 ","2,74 2,74 ",11.432 11.432 ,1.120 1.120 ,354 354 ,52.0,750.0,16.0,8.0,14.01414.014,0.0,0.0,2.0,22,0.0,14.02914.029
26.09426.094,740.0,26.46426.464,"27,05 27,05 ","7,94 7,94 ",15.607 15.607 ,2.722 2.722 ,1.055 1.055 ,9.646,4.514,378.0,46.0,31.36931.369,684.0,160.0,20.0,00,0.0,32.01332.013
561.470561.470,724.0,561.832561.832,"52,19 52,19 ","16,35 16,35 ",326.721 326.721 ,225.792 225.792 ,3.201 3.201 ,9.892,2.344,9.932,80.204,349.722349.722,148.802,155.334,26.31,1.5291.529,0.0,561.542561.542
35.04935.049,4.0,35.05135.051,"15,07 15,07 ","3,72 3,72 ",30.192 30.192 ,3.900 3.900 ,19 19 ,1822.0,58.0,52.0,7.85,22.24622.246,12.356,5.328,30.0,00,0.0,35.05435.054
31.93831.938,1238.0,32.55732.557,"70,31 70,31 ","20,57 20,57 ",22.636 22.636 ,6.905 6.905 ,665 665 ,2.0,4.7,32.0,570.0,35.40935.409,0.0,0.0,0.0,00,0.0,35.71035.710
151.615151.615,74.0,151.652151.652,"37,98 37,98 ","9,35 9,35 ",146.995 146.995 ,4.482 4.482 ,116 116 ,28.0,90.0,192.0,20.042,87.99487.994,75.442,28.778,2.8,1010,0.0,151.631151.631
3.178.1743.178.174,22.404,3.189.3763.189.376,"58,57 58,57 ","18,80 18,80 ",1.559.178 1.559.178 ,1.465.817 1.465.817 ,118.839 118.839 ,42.4,48.684,12.034,167.836,2.057.6982.057.698,804.63,1047.08,181.874,22.29922.299,0.0,3.186.7243.186.724
1.391.0301.391.030,16.032,1.399.0461.399.046,"108,37 108,37 ","45,69 45,69 ",428.801 428.801 ,918.328 918.328 ,38.259 38.259 ,5.46,21.856,1020.0,2.818,678.922678.922,436.974,554.39,133.072,19.88119.881,0.0,1.262.9401.262.940
26.30426.304,26.0,26.31726.317,"25,66 25,66 ","6,53 6,53 ",26.020 26.020 ,248 248 ,14 14 ,2.0,68.0,30.0,6.656,15.86115.861,9.802,4.322,98.0,00,0.0,26.31526.315
89.03689.036,28.0,89.05089.050,"28,62 28,62 ","7,65 7,65 ",54.430 54.430 ,34.277 34.277 ,252 252 ,104.0,78.0,382.0,7.67,44.54444.544,42.934,31.342,6.05,314314,0.0,89.04789.047
62.16662.166,3.46,63.89663.896,"35,66 35,66 ","10,93 10,93 ",43.994 43.994 ,999 999 ,916 916 ,26.388,9.586,802.0,8.364,73.75973.759,3.616,0.0,0.0,00,0.0,80.15080.150
88.59688.596,24.0,88.60888.608,"30,94 30,94 ","8,15 8,15 ",54.993 54.993 ,31.994 31.994 ,236 236 ,2.708,62.0,30.0,12.08,48.14948.149,41.172,22.936,4.088,303303,0.0,88.60588.605
641.066641.066,266.0,641.199641.199,"57,65 57,65 ","17,65 17,65 ",335.673 335.673 ,293.479 293.479 ,4.871 4.871 ,11.564,2.788,100.0,57.464,391.556391.556,164.022,237.286,38.07,2.0712.071,0.0,642.098642.098
180.296180.296,114.0,180.353180.353,"44,91 44,91 ","13,43 13,43 ",108.509 108.509 ,65.095 65.095 ,230 230 ,12.896,142.0,3.36,16.16,108.379108.379,78.292,41.124,4.508,317317,0.0,180.418180.418
29.70529.705,0.0,29.70529.705,"19,84 19,84 ","5,05 5,05 ",22.438 22.438 ,6.215 6.215 ,16 16 ,2.046,26.0,3.07,7.076,15.47315.473,8.892,8.116,1270.0,2222,0.0,29.70729.707
43.20243.202,2.0,43.20343.203,"22,76 22,76 ","5,82 5,82 ",33.869 33.869 ,9.278 9.278 ,22 22 ,0.0,68.0,660.0,12.426,27.82427.824,12.972,4.612,88.0,00,0.0,43.20343.203
71.45871.458,910.0,71.91371.913,"62,67 62,67 ","20,65 20,65 ",12.754 12.754 ,47.195 47.195 ,5.194 5.194 ,12.506,1034.0,724.0,18.558,57.73957.739,662.0,384.0,330.0,1111,0.0,68.07968.079
16.20716.207,36.0,16.22516.225,"16,20 16,20 ","4,31 4,31 ",16.180 16.180 ,0 0 ,15 15 ,4.0,56.0,18.0,3.156,9.4869.486,6.818,3.436,44.0,22,0.0,16.22416.224
169.282169.282,2.902,170.733170.733,"31,84 31,84 ","8,89 8,89 ",153.326 153.326 ,13.030 13.030 ,2.581 2.581 ,54.0,3.538,212.0,30.0,177.201177.201,172.0,100.0,10.0,2222,0.0,177.485177.485
97.61997.619,0.0,97.61997.619,"29,52 29,52 ","8,04 8,04 ",57.363 57.363 ,40.142 40.142 ,101 101 ,10.0,16.0,2.02,9.33,45.95045.950,47.694,38.712,5.254,166166,0.0,97.62197.621
113.227113.227,4.224,115.339115.339,"61,02 61,02 ","18,17 18,17 ",51.771 51.771 ,48.109 48.109 ,1.124 1.124 ,23.33,5.34,3.094,2.836,83.81383.813,1804.0,30.26,8.446,458458,0.0,107.491107.491
100.288100.288,2.0,101.288101.288,"46,03 46,03 ","14,16 14,16 ",67.075 67.075 ,28.785 28.785 ,954 954 ,6.426,2.522,1972.0,11.294,89.62289.622,492.0,13.476,3.188,200200,0.0,105.033105.033
107.632107.632,2.0,107.633107.633,"32,58 32,58 ","7,89 7,89 ",79.837 79.837 ,26.845 26.845 ,114 114 ,316.0,1358.0,1158.0,9.722,70.92270.922,43.108,18.772,534.0,7474,0.0,107.643107.643
51.25351.253,1240.0,51.87351.873,"27,04 27,04 ","6,89 6,89 ",48.670 48.670 ,451 451 ,772 772 ,2.146,1814.0,16.0,384.0,58.58858.588,0.0,0.0,0.0,44,0.0,58.79258.792
12.99212.992,630.0,13.30713.307,"9,55 9,55 ","2,73 2,73 ",11.432 11.432 ,1.120 1.120 ,354 354 ,52.0,750.0,16.0,8.0,14.01414.014,0.0,0.0,2.0,22,0.0,14.02914.029
26.11626.116,740.0,26.48626.486,"26,52 26,52 ","7,89 7,89 ",15.502 15.502 ,2.722 2.722 ,1.272 1.272 ,9.466,4.514,380.0,46.0,31.07831.078,948.0,136.0,60.0,00,0.0,31.86331.863
562.520562.520,724.0,562.882562.882,"51,97 51,97 ","16,34 16,34 ",327.458 327.458 ,226.094 226.094 ,3.210 3.210 ,9.896,2.344,9.932,78.926,340.418340.418,154.304,166.016,31.55,1.8311.831,0.0,562.613562.613
34.47334.473,4.0,34.47534.475,"14,70 14,70 ","3,65 3,65 ",29.616 29.616 ,3.900 3.900 ,19 19 ,1822.0,58.0,52.0,7.544,21.65921.659,12.436,5.572,34.0,00,0.0,34.47834.478
31.93831.938,1238.0,32.55732.557,"68,92 68,92 ","20,44 20,44 ",22.636 22.636 ,6.905 6.905 ,665 665 ,2.0,4.7,32.0,570.0,35.40935.409,0.0,0.0,0.0,00,0.0,35.71035.710
152.734152.734,74.0,152.771152.771,"37,90 37,90 ","9,39 9,39 ",147.373 147.373 ,5.223 5.223 ,116 116 ,28.0,90.0,192.0,19.364,86.47086.470,78.31,31.902,2.766,1313,0.0,152.750152.750
3.067.4303.067.430,22.402,3.078.6313.078.631,"56,27 56,27 ","18,10 18,10 ",1.378.549 1.378.549 ,1.535.037 1.535.037 ,119.132 119.132 ,43.11,48.716,15.096,94.944,1.910.1561.910.156,598.018,1146.596,186.118,46.17846.178,0.0,2.976.7202.976.720
1.592.1751.592.175,16.032,1.600.1911.600.191,"124,06 124,06 ","52,24 52,24 ",615.262 615.262 ,932.466 932.466 ,38.628 38.628 ,5.638,22.032,1112.0,71.326,726.223726.223,609.94,757.142,160.468,37.97737.977,0.0,1.564.1941.564.194
26.69226.692,26.0,26.70526.705,"25,98 25,98 ","6,61 6,61 ",26.401 26.401 ,255 255 ,14 14 ,2.0,68.0,30.0,6.636,15.65515.655,10.65,4.684,94.0,11,0.0,26.70326.703
90.59790.597,28.0,90.61190.611,"29,05 29,05 ","7,76 7,76 ",54.449 54.449 ,35.613 35.613 ,458 458 ,104.0,78.0,382.0,7.466,42.59042.590,44.698,36.088,6.314,545545,0.0,90.60990.609
62.24562.245,3.46,63.97563.975,"35,55 35,55 ","10,90 10,90 ",43.994 43.994 ,1.067 1.067 ,916 916 ,26.388,9.608,806.0,8.372,73.76073.760,3.76,0.0,0.0,00,0.0,80.22980.229
90.08590.085,24.0,90.09790.097,"31,39 31,39 ","8,27 8,27 ",55.262 55.262 ,33.192 33.192 ,258 258 ,2.708,62.0,30.0,11.824,46.48346.483,43.552,26.086,4.436,647647,0.0,90.09490.094
657.505657.505,266.0,657.638657.638,"58,97 58,97 ","18,06 18,06 ",341.748 341.748 ,303.488 303.488 ,4.451 4.451 ,12.892,3.01,502.0,53.724,370.865370.865,176.958,293.366,40.702,5.0695.069,0.0,658.560658.560
182.675182.675,114.0,182.732182.732,"45,39 45,39 ","13,57 13,57 ",108.309 108.309 ,67.650 67.650 ,254 254 ,12.896,142.0,3.36,15.888,104.422104.422,83.6,47.048,5.208,823823,0.0,182.797182.797
29.95629.956,0.0,29.95629.956,"19,97 19,97 ","5,08 5,08 ",22.493 22.493 ,6.410 6.410 ,17 17 ,2.046,26.0,2.972,6.838,14.78714.787,9.59,9.166,1498.0,139139,0.0,29.95829.958
42.65642.656,2.0,42.65742.657,"22,40 22,40 ","5,73 5,73 ",33.742 33.742 ,8.858 8.858 ,22 22 ,0.0,70.0,622.0,11.754,26.91526.915,13.948,5.076,84.0,11,0.0,42.65842.658
72.57372.573,898.0,73.02273.022,"63,49 63,49 ","20,92 20,92 ",12.754 12.754 ,48.310 48.310 ,5.194 5.194 ,12.506,1022.0,712.0,17.266,59.04559.045,1116.0,672.0,488.0,2121,0.0,69.19369.193
16.27116.271,36.0,16.28916.289,"16,20 16,20 ","4,31 4,31 ",16.244 16.244 ,0 0 ,15 15 ,4.0,56.0,18.0,3.108,9.3049.304,7.198,3.592,48.0,22,0.0,16.28816.288
169.302169.302,2.902,170.753170.753,"31,76 31,76 ","8,86 8,86 ",153.331 153.331 ,13.030 13.030 ,2.581 2.581 ,54.0,3.568,218.0,48.0,177.203177.203,184.0,100.0,10.0,2222,0.0,177.505177.505
99.79499.794,0.0,99.79499.794,"30,09 30,09 ","8,20 8,20 ",56.752 56.752 ,42.925 42.925 ,103 103 ,10.0,18.0,2.022,8.894,47.24447.244,44.066,43.198,5.784,570570,0.0,99.79699.796
115.321115.321,4.224,117.433117.433,"61,91 61,91 ","18,43 18,43 ",51.794 51.794 ,50.283 50.283 ,1.133 1.133 ,23.09,5.356,3.084,2.79,81.27281.272,1698.0,36.102,9.548,1.7031.703,0.0,109.586109.586
100.621100.621,1996.0,101.619101.619,"46,02 46,02 ","14,16 14,16 ",67.038 67.038 ,29.147 29.147 ,961 961 ,6.426,2.52,1946.0,11.212,88.08588.085,490.0,15.98,3.842,559559,0.0,105.379105.379
108.540108.540,2.0,108.541108.541,"32,74 32,74 ","7,93 7,93 ",80.184 80.184 ,27.280 27.280 ,115 115 ,316.0,1608.0,1188.0,9.438,67.57667.576,46.37,22.666,2.136,7676,0.0,108.551108.551
51.26151.261,1240.0,51.88151.881,"26,96 26,96 ","6,87 6,87 ",48.670 48.670 ,451 451 ,772 772 ,2.146,1830.0,30.0,386.0,58.58858.588,0.0,0.0,0.0,44,0.0,58.80058.800
12.99212.992,630.0,13.30713.307,"9,51 9,51 ","2,72 2,72 ",11.432 11.432 ,1.120 1.120 ,354 354 ,52.0,750.0,16.0,8.0,14.01414.014,0.0,0.0,2.0,22,0.0,14.02914.029
26.01926.019,738.0,26.38826.388,"26,25 26,25 ","7,81 7,81 ",15.311 15.311 ,2.722 2.722 ,1.365 1.365 ,9.47,4.51,376.0,48.0,30.91330.913,1082.0,132.0,66.0,00,0.0,31.76531.765
566.918566.918,724.0,567.280567.280,"52,27 52,27 ","16,44 16,44 ",329.813 329.813 ,228.102 228.102 ,3.234 3.234 ,9.916,2.346,9.934,77.442,311.830311.830,185.708,195.126,33.588,4.2754.275,0.0,567.004567.004
33.19433.194,4.0,33.19633.196,"14,12 14,12 ","3,50 3,50 ",28.337 28.337 ,3.900 3.900 ,19 19 ,1822.0,58.0,52.0,7.078,20.38420.384,12.864,5.604,32.0,00,0.0,33.19933.199
31.93831.938,1238.0,32.55732.557,"68,46 68,46 ","20,30 20,30 ",22.636 22.636 ,6.905 6.905 ,665 665 ,2.0,4.7,32.0,570.0,35.40935.409,0.0,0.0,0.0,00,0.0,35.71035.710
154.374154.374,74.0,154.411154.411,"38,19 38,19 ","9,46 9,46 ",149.013 149.013 ,5.223 5.223 ,116 116 ,28.0,90.0,192.0,18.472,83.34283.342,85.072,35.576,2.742,2121,0.0,154.390154.390
3.046.7583.046.758,22.404,3.057.9603.057.960,"55,63 55,63 ","17,94 17,94 ",1.288.025 1.288.025 ,1.571.180 1.571.180 ,124.920 124.920 ,70.116,77.554,13.154,102.822,1.733.4791.733.479,623.304,1352.274,281.624,108.400108.400,0.0,3.028.4683.028.468
1.563.2891.563.289,14.14,1.570.3591.570.359,"121,86 121,86 ","51,24 51,24 ",583.249 583.249 ,941.092 941.092 ,33.481 33.481 ,5.628,19.446,566.0,67.848,590.689590.689,622.822,852.6,241.35,91.91791.917,0.0,1.575.1991.575.199
33.46733.467,22.0,33.47833.478,"32,49 32,49 ","8,27 8,27 ",26.873 26.873 ,4.411 4.411 ,12 12 ,2.0,4.362,104.0,6.408,15.38315.383,11.516,5.126,100.0,11,0.0,27.01127.011
93.74793.747,24.0,93.75993.759,"29,98 29,98 ","8,01 8,01 ",54.888 54.888 ,37.307 37.307 ,456 456 ,72.0,2.144,190.0,6.992,40.05940.059,46.016,40.614,7.654,2.0042.004,0.0,92.79692.796
81.06781.067,4.954,83.54483.544,"46,22 46,22 ","14,17 14,17 ",56.359 56.359 ,5.645 5.645 ,1.217 1.217 ,27.006,13.64,872.0,7.978,71.84371.843,4.672,6.0,0.0,00,0.0,78.60778.607
92.53692.536,24.0,92.54892.548,"32,17 32,17 ","8,47 8,47 ",56.247 56.247 ,33.993 33.993 ,947 947 ,2.668,54.0,48.0,11.258,44.30544.305,45.57,31.152,5.27,1.6071.607,0.0,92.56192.561
696.536696.536,216.0,696.644696.644,"62,31 62,31 ","19,08 19,08 ",344.580 344.580 ,319.360 319.360 ,10.579 10.579 ,14.274,29.976,654.0,52.308,309.161309.161,200.226,378.604,76.262,16.74116.741,0.0,679.929679.929
185.414185.414,100.0,185.464185.464,"45,96 45,96 ","13,74 13,74 ",107.774 107.774 ,69.596 69.596 ,1.786 1.786 ,12.49,126.0,3.382,15.09,98.03298.032,85.894,58.022,7.756,2.3972.397,0.0,185.501185.501
32.10532.105,0.0,32.10532.105,"21,35 21,35 ","5,43 5,43 ",22.647 22.647 ,6.816 6.816 ,428 428 ,4.404,24.0,2.126,7.432,13.75213.752,10.374,12.112,1798.0,459459,0.0,31.13231.132
43.24143.241,2.0,43.24243.242,"22,65 22,65 ","5,79 5,79 ",33.796 33.796 ,9.395 9.395 ,20 20 ,46.0,16.0,674.0,11.446,26.83526.835,14.738,5.924,82.0,22,0.0,43.26943.269
79.28079.280,820.0,79.69079.690,"69,14 69,14 ","22,78 22,78 ",11.378 11.378 ,49.679 49.679 ,5.153 5.153 ,23.072,3.888,686.0,16.488,64.79464.794,1710.0,1176.0,654.0,5151,0.0,75.20275.202
51.89651.896,34.0,51.91351.913,"51,47 51,47 ","13,70 13,70 ",16.638 16.638 ,34.984 34.984 ,14 14 ,504.0,50.0,32.0,2.994,40.88240.882,7.798,11.208,46.0,33,0.0,51.92451.924
190.958190.958,3.066,192.491192.491,"35,70 35,70 ","9,96 9,96 ",154.036 154.036 ,33.788 33.788 ,2.772 2.772 ,58.0,3.732,64.0,190.0,158.461158.461,230.0,134.0,58.0,1919,0.0,158.818158.818
100.476100.476,0.0,100.476100.476,"30,21 30,21 ","8,23 8,23 ",56.472 56.472 ,43.880 43.880 ,110 110 ,10.0,18.0,2.116,8.246,42.90042.900,45.616,47.826,7.686,1.8811.881,0.0,100.526100.526
113.755113.755,4.058,115.784115.784,"60,83 60,83 ","18,11 18,11 ",48.001 48.001 ,52.468 52.468 ,1.044 1.044 ,23.152,5.39,4.072,2.914,72.53272.532,2.068,40.426,14.134,4.9374.937,0.0,109.276109.276
106.393106.393,2.206,107.496107.496,"48,52 48,52 ","14,92 14,92 ",69.301 69.301 ,30.018 30.018 ,1.106 1.106 ,6.108,8.034,844.0,11.282,83.90083.900,612.0,20.232,5.93,1.6591.659,0.0,105.009105.009
132.517132.517,2.0,132.518132.518,"39,84 39,84 ","9,65 9,65 ",80.782 80.782 ,50.284 50.284 ,127 127 ,316.0,2.334,1290.0,8.988,78.83078.830,64.866,29.24,4.63,6363,0.0,133.400133.400
61.78961.789,1320.0,62.44962.449,"32,37 32,37 ","8,25 8,25 ",54.499 54.499 ,5.068 5.068 ,816 816 ,2.106,2.026,62.0,2.154,57.58257.582,2.0,0.0,4.0,22,0.0,58.69558.695
21.40821.408,622.0,21.71921.719,"15,48 15,48 ","4,43 4,43 ",11.407 11.407 ,7.576 7.576 ,347 347 ,52.0,4.726,126.0,6.0,12.32512.325,14.0,0.0,2.0,77,0.0,12.40612.406
33.22233.222,936.0,33.69033.690,"33,29 33,29 ","9,91 9,91 ",19.220 19.220 ,5.487 5.487 ,1.544 1.544 ,9.104,5.774,376.0,46.0,29.10229.102,1084.0,132.0,66.0,11,0.0,29.95529.955
662.086662.086,512.0,662.342662.342,"60,91 60,91 ","19,15 19,15 ",322.953 322.953 ,290.655 290.655 ,6.338 6.338 ,9.794,74.998,6.232,68.038,320.017320.017,208.906,250.678,49.072,12.98212.982,0.0,624.462624.462
82.79282.792,4.0,82.79482.794,"35,12 35,12 ","8,72 8,72 ",27.733 27.733 ,54.096 54.096 ,19 19 ,1822.0,70.0,138.0,6.576,40.43540.435,36.978,6.094,60.0,22,0.0,65.36065.360
30.88330.883,1166.0,31.46631.466,"65,74 65,74 ","19,49 19,49 ",21.587 21.587 ,7.012 7.012 ,622 622 ,2.0,4.488,18.0,594.0,33.85833.858,0.0,0.0,0.0,00,0.0,34.16434.164
160.979160.979,66.0,161.012161.012,"39,70 39,70 ","9,83 9,83 ",154.130 154.130 ,6.431 6.431 ,106 106 ,80.0,610.0,218.0,17.896,83.07083.070,90.604,41.028,2.722,655655,0.0,159.959159.959
3.171.2063.171.206,21.38,3.181.8963.181.896,"57,61 57,61 ","18,61 18,61 ",1.241.172 1.241.172 ,1.718.013 1.718.013 ,131.181 131.181 ,120.164,62.896,7.73,110.092,1.551.1941.551.194,529.29,1425.026,670.28,151.747151.747,228.364,3.188.3323.188.332
1.575.4181.575.418,13.812,1.582.3241.582.324,"122,90 122,90 ","51,62 51,62 ",571.363 571.363 ,961.688 961.688 ,36.277 36.277 ,6.238,19.754,628.0,62.822,517.018517.018,568.08,916.24,356.792,114.939114.939,0.0,1.584.2381.584.238
29.54829.548,20.0,29.55829.558,"28,62 28,62 ","7,28 7,28 ",27.083 27.083 ,263 263 ,11 11 ,2.0,4.4,68.0,6.364,15.31515.315,11.808,5.854,86.0,22,4.302,29.55829.558
96.60396.603,24.0,96.61596.615,"30,81 30,81 ","8,23 8,23 ",55.035 55.035 ,39.690 39.690 ,389 389 ,760.0,2.242,140.0,6.864,37.14437.144,48.176,40.246,14.58,3.2893.289,2.07,96.47196.471
91.01291.012,4.856,93.44093.440,"51,46 51,46 ","15,78 15,78 ",56.378 56.378 ,15.097 15.097 ,1.187 1.187 ,28.14,13.416,134.0,8.626,83.67683.676,10.71,14.0,10.0,99,0.0,93.43293.432
93.76093.760,22.0,93.77193.771,"32,52 32,52 ","8,56 8,56 ",56.786 56.786 ,34.722 34.722 ,894 894 ,2.668,70.0,22.0,10.44,41.08041.080,47.372,32.092,10.106,2.6752.675,0.0,93.77193.771
709.874709.874,210.0,709.979709.979,"63,33 63,33 ","19,39 19,39 ",349.710 349.710 ,324.709 324.709 ,12.778 12.778 ,24.086,21.478,582.0,50.822,280.837280.837,205.784,435.204,81.796,24.25124.251,16.858,700.611700.611
193.654193.654,98.0,193.703193.703,"47,89 47,89 ","14,32 14,32 ",107.764 107.764 ,73.692 73.692 ,1.894 1.894 ,20.534,172.0,3.37,18.156,95.46695.466,90.378,60.02,15.916,4.1134.113,0.0,193.499193.499
32.05632.056,0.0,32.05632.056,"21,27 21,27 ","5,41 5,41 ",23.410 23.410 ,6.973 6.973 ,19 19 ,3.206,102.0,2.22,8.122,13.22013.220,9.734,13.992,1954.0,824824,0.0,32.05532.055
43.55143.551,2.0,43.55243.552,"22,74 22,74 ","5,82 5,82 ",33.844 33.844 ,9.626 9.626 ,20 20 ,56.0,68.0,690.0,10.728,26.56626.566,15.442,7.014,88.0,33,0.0,43.55043.550
81.67581.675,792.0,82.07182.071,"71,05 71,05 ","23,41 23,41 ",10.808 10.808 ,50.495 50.495 ,8.272 8.272 ,21.138,3.854,620.0,17.458,66.05366.053,2.454,1584.0,782.0,8181,7.006,81.08681.086
52.17752.177,34.0,52.19452.194,"51,57 51,57 ","13,73 13,73 ",16.912 16.912 ,34.984 34.984 ,14 14 ,506.0,62.0,18.0,2.976,40.77740.777,8.166,11.626,44.0,33,0.0,52.19552.195
178.661178.661,2.98,180.151180.151,"33,33 33,33 ","9,30 9,30 ",152.896 152.896 ,16.114 16.114 ,3.015 3.015 ,12.412,3.84,52.0,3.312,177.646177.646,876.0,556.0,58.0,8181,0.0,180.154180.154
103.895103.895,0.0,103.895103.895,"31,14 31,14 ","8,48 8,48 ",56.271 56.271 ,47.470 47.470 ,95 95 ,10.0,108.0,2.106,7.8,41.72341.723,46.262,44.524,18.182,2.7352.735,0.0,103.895103.895
114.965114.965,4.012,116.971116.971,"61,24 61,24 ","18,23 18,23 ",46.739 46.739 ,54.119 54.119 ,1.017 1.017 ,24.808,5.384,2.792,4.744,68.03668.036,2.65,45.562,15.056,6.3006.300,12.21,115.843115.843
