año,trimestre,provincia,banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
2014,1,Río Negro,93.909,1.157,95.066,"44,91 ","13,87 ",64.886 ,24.156 ,876 ,3.576,1.572,4.67,4.618,84.304,73.0,1.062,1.0,8,0.0,94.736
2014,2,Buenos Aires,2.750.430,14.116,2.764.546,"55,06 ","16,79 ",1.568.881 ,1.025.490 ,120.008 ,17.02,33.147,6.902,162.274,2.288.772,140.226,56.549,284.0,4.309,0.0,2.659.316
2014,2,Buenos Aires,2.750.430,14.116,2.764.546,"55,06 ","16,79 ",1.568.881 ,1.025.490 ,120.008 ,17.02,33.147,6.902,162.274,2.288.772,140.226,56.549,284.0,4.309,0.0,2.659.316
2014,2,Capital Federal,1.299.502,10.713,1.310.215,"113,14 ","42,97 ",447.637 ,828.411 ,17.729 ,1.883,14.555,847.0,81.431,1.078.213,87.359,56.004,59.0,6.427,0.0,1.310.340
2014,2,Capital Federal,1.299.502,10.713,1.310.215,"113,14 ","42,97 ",447.637 ,828.411 ,17.729 ,1.883,14.555,847.0,81.431,1.078.213,87.359,56.004,59.0,6.427,0.0,1.310.340
2014,2,Catamarca,24.660,23.0,24.683,"24,70 ","6,28 ",24.380 ,243 ,17 ,0.0,43.0,19.0,8.844,13.794,1.915,111.0,0.0,0,0.0,24.683
2014,2,Catamarca,24.660,23.0,24.683,"24,70 ","6,28 ",24.380 ,243 ,17 ,0.0,43.0,19.0,8.844,13.794,1.915,111.0,0.0,0,0.0,24.683
2014,2,Chaco,63.243,36.0,63.279,"20,96 ","5,60 ",53.321 ,9.870 ,30 ,0.0,58.0,412.0,14.854,41.530,5.418,1.085,5.0,0,0.0,63.304
2014,2,Chaco,63.243,36.0,63.279,"20,96 ","5,60 ",53.321 ,9.870 ,30 ,0.0,58.0,412.0,14.854,41.530,5.418,1.085,5.0,0,0.0,63.304
2014,2,Chubut,68.503,2.016,70.519,"41,41 ","12,70 ",51.070 ,649 ,866 ,10.96,6.974,2.064,6.582,61.868,0.0,0.0,0.0,0,0.0,70.514
2014,2,Chubut,68.503,2.016,70.519,"41,41 ","12,70 ",51.070 ,649 ,866 ,10.96,6.974,2.064,6.582,61.868,0.0,0.0,0.0,0,0.0,70.514
2014,2,Corrientes,62.925,33.0,62.958,"22,58 ","5,95 ",52.883 ,8.680 ,31 ,1.309,55.0,20.0,15.563,41.219,5.199,956.0,0.0,0,0.0,62.957
2014,2,Corrientes,62.925,33.0,62.958,"22,58 ","5,95 ",52.883 ,8.680 ,31 ,1.309,55.0,20.0,15.563,41.219,5.199,956.0,0.0,0,0.0,62.957
2014,2,Córdoba,576.747,205.0,576.952,"53,45 ","16,37 ",337.825 ,234.729 ,351 ,3.673,374.0,2.105,101.598,429.536,28.698,14.824,76.0,627,0.0,577.464
2014,2,Córdoba,576.747,205.0,576.952,"53,45 ","16,37 ",337.825 ,234.729 ,351 ,3.673,374.0,2.105,101.598,429.536,28.698,14.824,76.0,627,0.0,577.464
2014,2,Entre Ríos,135.468,115.0,135.583,"34,69 ","10,37 ",108.900 ,21.706 ,49 ,4.795,133.0,2.187,32.781,86.757,12.564,1.162,0.0,44,0.0,135.495
2014,2,Entre Ríos,135.468,115.0,135.583,"34,69 ","10,37 ",108.900 ,21.706 ,49 ,4.795,133.0,2.187,32.781,86.757,12.564,1.162,0.0,44,0.0,135.495
2014,2,Formosa,25.535,65.0,25.600,"17,54 ","4,46 ",20.894 ,4.628 ,0 ,0.0,78.0,2.032,8.218,13.944,1.321,85.0,0.0,0,0.0,25.600
2014,2,Formosa,25.535,65.0,25.600,"17,54 ","4,46 ",20.894 ,4.628 ,0 ,0.0,78.0,2.032,8.218,13.944,1.321,85.0,0.0,0,0.0,25.600
2014,2,Jujuy,34.359,2.0,34.361,"18,71 ","4,78 ",30.128 ,4.161 ,23 ,40.0,9.0,1.873,11.233,18.851,2.305,82.0,0.0,0,0.0,34.344
2014,2,Jujuy,34.359,2.0,34.361,"18,71 ","4,78 ",30.128 ,4.161 ,23 ,40.0,9.0,1.873,11.233,18.851,2.305,82.0,0.0,0,0.0,34.344
2014,2,La Pampa,55.048,580.0,55.628,"49,71 ","16,38 ",15.957 ,32.600 ,513 ,5.869,689.0,7.032,6.761,34.089,18.0,5.0,4.0,10,0.0,47.919
2014,2,La Pampa,55.048,580.0,55.628,"49,71 ","16,38 ",15.957 ,32.600 ,513 ,5.869,689.0,7.032,6.761,34.089,18.0,5.0,4.0,10,0.0,47.919
2014,2,La Rioja,15.889,23.0,15.912,"16,50 ","4,39 ",15.864 ,0 ,14 ,0.0,34.0,10.0,4.785,9.719,1.337,61.0,0.0,0,0.0,15.912
2014,2,La Rioja,15.889,23.0,15.912,"16,50 ","4,39 ",15.864 ,0 ,14 ,0.0,34.0,10.0,4.785,9.719,1.337,61.0,0.0,0,0.0,15.912
2014,2,Mendoza,165.046,1.761,166.807,"32,10 ","8,96 ",148.979 ,13.030 ,2.480 ,36.0,2.282,35.0,6.0,166.710,31.0,10.0,5.0,10,0.0,166.807
2014,2,Mendoza,165.046,1.761,166.807,"32,10 ","8,96 ",148.979 ,13.030 ,2.480 ,36.0,2.282,35.0,6.0,166.710,31.0,10.0,5.0,10,0.0,166.807
2014,2,Misiones,74.689,0.0,74.689,"23,37 ","6,37 ",56.933 ,17.594 ,4 ,150.0,8.0,540.0,13.644,53.245,5.924,1.334,2.0,0,0.0,74.689
2014,2,Misiones,74.689,0.0,74.689,"23,37 ","6,37 ",56.933 ,17.594 ,4 ,150.0,8.0,540.0,13.644,53.245,5.924,1.334,2.0,0,0.0,74.689
2014,2,Neuquén,90.053,2.235,92.288,"50,84 ","15,14 ",47.767 ,29.776 ,997 ,10.765,2.983,1.531,3.206,79.087,92.0,2.289,2.0,30,0.0,86.237
2014,2,Neuquén,90.053,2.235,92.288,"50,84 ","15,14 ",47.767 ,29.776 ,997 ,10.765,2.983,1.531,3.206,79.087,92.0,2.289,2.0,30,0.0,86.237
